,color,total,sweater,tshirt,top
3,black,4662.0,307.0,367.0,580.0
5,blue_dark,4000.0,397.0,353.0,316.0
49,white,1231.0,47.0,315.0,228.0
29,khaki,1114.0,80.0,113.0,73.0
16,ecru,1031.0,171.0,165.0,186.0
2,beige,842.0,128.0,20.0,78.0
22,green_dark,836.0,65.0,79.0,62.0
43,rust,798.0,135.0,103.0,53.0
34,mustand,757.0,133.0,79.0,92.0
4,blue,754.0,68.0,36.0,29.0
39,pink,746.0,113.0,119.0,63.0
7,blue_light,719.0,48.0,41.0,68.0
18,garnet,508.0,83.0,65.0,73.0
42,red,483.0,75.0,47.0,46.0
21,green,457.0,46.0,33.0,50.0
11,brown,447.0,43.0,28.0,17.0
20,gray_light,416.0,121.0,40.0,5.0
26,grey_dark,400.0,50.0,104.0,11.0
24,grey,366.0,96.0,43.0,0.0
51,yellow,341.0,56.0,65.0,32.0
37,orange,301.0,64.0,41.0,18.0
13,camel,273.0,52.0,18.0,11.0
6,blue_klein,235.0,41.0,12.0,24.0
23,green_light,222.0,31.0,18.0,50.0
0,aubergine,193.0,36.0,19.0,12.0
48,taupe,188.0,10.0,9.0,10.0
12,brown_light,183.0,36.0,0.0,0.0
15,crimson,173.0,37.0,17.0,24.0
14,coral,171.0,3.0,42.0,31.0
44,salmon,168.0,26.0,17.0,15.0
35,nude,128.0,30.0,3.0,13.0
9,blue_turquoise,120.0,6.0,17.0,9.0
10,brick,82.0,10.0,9.0,11.0
8,blue_petrol,77.0,5.0,10.0,10.0
30,lemon,54.0,5.0,22.0,7.0
41,purple,49.0,8.0,17.0,5.0
17,fuchsia,48.0,0.0,0.0,11.0
31,lilac,44.0,10.0,0.0,4.0
36,ochre,37.0,5.0,0.0,5.0
45,sand,35.0,0.0,0.0,6.0
28,jade,31.0,5.0,6.0,7.0
19,gold,30.0,3.0,6.0,13.0
52,yellow_light,27.0,0.0,5.0,6.0
47,strawberry,24.0,0.0,0.0,14.0
27,indigo,24.0,0.0,5.0,5.0
25,grey_blue,23.0,0.0,5.0,4.0
33,mint,20.0,11.0,0.0,0.0
32,mandarine,15.0,0.0,0.0,9.0
1,baby_blue,12.0,0.0,0.0,0.0
46,silver,12.0,5.0,0.0,0.0
40,pistachio,10.0,1.0,0.0,0.0
38,pale_pink,9.0,0.0,4.0,0.0
50,wine,9.0,0.0,0.0,0.0
