,family_product,total,no_enviados,porcentaje
0,pant,2261,69,3.051747014595312
1,shirt,2018,101,5.004955401387512
2,jumpsuit,476,19,3.9915966386554618
3,top,2396,84,3.5058430717863103
4,dress,1536,60,3.90625
5,sweater,2702,129,4.774241302738711
6,coat,300,31,10.333333333333334
7,sweatshirt,303,16,5.2805280528052805
8,jeans,1951,100,5.125576627370579
9,cardigan,1444,52,3.6011080332409975
10,skirt,1638,64,3.907203907203907
11,bag,168,2,1.1904761904761905
12,parka,1012,85,8.399209486166008
13,short,729,21,2.880658436213992
14,tshirt,2517,75,2.9797377830750893
15,jacket,2132,142,6.660412757973734
16,scarf,248,4,1.6129032258064515
